Year,ticket_geo_region_name,Category_type,Distribution
2020,Abruzzo,Energy efficiency,0.90
2020,Abruzzo,Security,0.09
2020,Abruzzo,Smart home,0.01
2020,Basilicata,Energy efficiency,0.86
2020,Basilicata,Security,0.12
2020,Basilicata,Smart home,0.02
2020,Calabria,Energy efficiency,0.93
2020,Calabria,Security,0.06
2020,Calabria,Smart home,0.01
2020,Campania,Energy efficiency,0.91
2020,Campania,Security,0.09
2020,Campania,Smart home,0.01
2020,Emilia-Romagna,Energy efficiency,0.89
2020,Emilia-Romagna,Security,0.10
2020,Emilia-Romagna,Smart home,0.02
2020,Friuli Venezia Giulia,Energy efficiency,0.88
2020,Friuli Venezia Giulia,Security,0.11
2020,Friuli Venezia Giulia,Smart home,0.01
2020,Lazio,Energy efficiency,0.88
2020,Lazio,Security,0.11
2020,Lazio,Smart home,0.01
2020,Liguria,Energy efficiency,0.90
2020,Liguria,Security,0.09
2020,Liguria,Smart home,0.01
2020,Lombardia,Energy efficiency,0.87
2020,Lombardia,Security,0.11
2020,Lombardia,Smart home,0.02
2020,Marche,Energy efficiency,0.89
2020,Marche,Security,0.10
2020,Marche,Smart home,0.01
2020,Molise,Energy efficiency,0.93
2020,Molise,Security,0.06
2020,Molise,Smart home,0.01
2020,Piemonte,Energy efficiency,0.89
2020,Piemonte,Security,0.09
2020,Piemonte,Smart home,0.01
2020,Puglia,Energy efficiency,0.89
2020,Puglia,Security,0.10
2020,Puglia,Smart home,0.01
2020,Sardegna,Energy efficiency,0.90
2020,Sardegna,Security,0.08
2020,Sardegna,Smart home,0.01
2020,Sicilia,Energy efficiency,0.92
2020,Sicilia,Security,0.07
2020,Sicilia,Smart home,0.01
2020,Toscana,Energy efficiency,0.89
2020,Toscana,Security,0.10
2020,Toscana,Smart home,0.01
2020,Trentino-Alto Adige,Energy efficiency,0.92
2020,Trentino-Alto Adige,Security,0.07
2020,Trentino-Alto Adige,Smart home,0.01
2020,Umbria,Energy efficiency,0.91
2020,Umbria,Security,0.08
2020,Umbria,Smart home,0.01
2020,Valle d'Aosta,Energy efficiency,0.95
2020,Valle d'Aosta,Security,0.05
2020,Veneto,Energy efficiency,0.90
2020,Veneto,Security,0.08
2020,Veneto,Smart home,0.01
,,,#DIV/0!
