date,bodas vintage,bodas en la playa_x,bodas pequeñas,bodas bonitas,bodas elegantes,isPartial_x,bodas en la playa_y,boda en la playa,bodas online,isPartial_y
2019-02-03,0.0,24.946236559139784,0.0,24.946236559139784,50.67204301075269,0.0,29,0,44,False
2019-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,False
2019-02-17,0.0,0.0,0.0,0.0,25.725806451612904,0.0,0,30,0,False
2019-02-24,0.0,25.725806451612904,0.0,24.946236559139784,25.725806451612904,0.0,29,0,0,False
2019-03-03,0.0,0.0,0.0,24.946236559139784,0.0,0.0,0,44,0,False
2019-03-10,0.0,24.946236559139784,0.0,0.0,0.0,0.0,29,0,29,False
2019-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0,29,0,False
2019-03-24,0.0,0.0,0.0,25.725806451612904,25.725806451612904,0.0,0,29,0,False
2019-03-31,0.0,0.0,0.0,24.946236559139784,24.946236559139784,0.0,0,29,0,False
2019-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-04-14,0.0,53.79032258064516,0.0,0.0,0.0,0.0,62,31,0,False
2019-04-21,0.0,24.946236559139784,0.0,24.946236559139784,24.946236559139784,0.0,28,0,0,False
2019-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0,55,27,False
2019-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0,28,28,False
2019-05-12,0.0,0.0,0.0,0.0,24.166666666666664,0.0,0,0,0,False
2019-05-19,0.0,23.387096774193548,0.0,23.387096774193548,23.387096774193548,0.0,27,27,0,False
2019-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-06-02,0.0,24.166666666666664,0.0,0.0,0.0,0.0,27,55,0,False
2019-06-09,0.0,24.166666666666664,0.0,0.0,0.0,0.0,28,0,28,False
2019-06-16,0.0,0.0,0.0,0.0,24.946236559139784,0.0,0,29,57,False
2019-06-23,0.0,25.725806451612904,0.0,26.50537634408602,51.45161290322581,0.0,30,59,30,False
2019-06-30,0.0,49.89247311827957,0.0,24.946236559139784,0.0,0.0,57,29,29,False
2019-07-07,0.0,24.166666666666664,0.0,24.166666666666664,0.0,0.0,28,28,0,False
2019-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,False
2019-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0,29,29,False
2019-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-08-04,0.0,0.0,0.0,27.28494623655914,0.0,0.0,0,31,31,False
2019-08-11,0.0,41.317204301075265,0.0,0.0,28.064516129032256,0.0,48,32,0,False
2019-08-18,0.0,0.0,0.0,0.0,27.28494623655914,0.0,0,0,0,False
2019-08-25,0.0,50.67204301075269,0.0,0.0,24.946236559139784,0.0,58,29,0,False
2019-09-01,0.0,0.0,0.0,0.0,24.166666666666664,0.0,0,28,28,False
2019-09-08,0.0,23.387096774193548,0.0,23.387096774193548,23.387096774193548,0.0,27,0,0,False
2019-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0,False
2019-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0,27,27,False
2019-09-29,0.0,0.0,0.0,22.60752688172043,0.0,0.0,0,0,26,False
2019-10-06,0.0,0.0,0.0,0.0,22.60752688172043,0.0,0,0,0,False
2019-10-13,0.0,22.60752688172043,0.0,0.0,0.0,0.0,26,26,52,False
2019-10-20,0.0,33.52150537634409,0.0,0.0,0.0,0.0,39,0,52,False
2019-10-27,0.0,23.387096774193548,0.0,0.0,0.0,0.0,27,27,54,False
2019-11-03,0.0,0.0,0.0,0.0,23.387096774193548,0.0,0,0,0,False
2019-11-10,0.0,23.387096774193548,0.0,23.387096774193548,0.0,0.0,26,53,67,False
2019-11-17,0.0,0.0,0.0,23.387096774193548,0.0,0.0,0,0,27,False
2019-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26,False
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,False
2019-12-15,0.0,0.0,0.0,23.387096774193548,0.0,0.0,0,0,27,False
2019-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False
2019-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,29,False
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0,27,54,False
2020-01-12,0.0,21.827956989247312,0.0,0.0,0.0,0.0,25,0,0,False
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25,False
2020-01-26,0.0,22.60752688172043,0.0,0.0,0.0,0.0,26,0,0,False
2020-02-02,0.0,0.0,0.0,0.0,44.435483870967744,0.0,0,0,26,False
2020-02-09,0.0,0.0,0.0,22.60752688172043,0.0,0.0,0,0,26,False
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,26,False
2020-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,False
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0,25,25,False
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0,49,24,False
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25,False
2020-03-22,0.0,20.268817204301076,0.0,0.0,0.0,0.0,23,0,0,False
2020-03-29,0.0,0.0,0.0,0.0,20.268817204301076,0.0,0,23,0,False
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0,24,0,False
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0,23,0,False
2020-04-19,0.0,0.0,0.0,19.489247311827956,19.489247311827956,0.0,0,22,0,False
2020-04-26,0.0,20.268817204301076,0.0,0.0,0.0,0.0,23,24,0,False
